target_transcript_id,partner_transcript_id,or_threshold_target,or_threshold_partner,and_threshold
ENST00000085219.9,ENST00000301573.13,4.6189,1.8323,0.3608225631114869
ENST00000085219.9,ENST00000372276.7,4.6189,3.4765,0.3682713391146317
ENST00000085219.9,ENST00000263398.10,4.6189,6.9255,0.5648599309176396
ENST00000085219.9,ENST00000368045.3,4.6189,1.5709,0.3020292305834038
ENST00000085219.9,ENST00000347785.7,4.6189,3.3633,0.3645367798043242
ENST00000085219.9,ENST00000257857.8,4.6189,8.4384,0.6705218021500181
ENST00000085219.9,ENST00000009530.11,4.6189,9.0717,0.5826015094489914
ENST00000085219.9,ENST00000006750.7,4.6189,4.1219,0.3352759995168499
ENST00000085219.9,ENST00000311224.8,4.6189,-9.9658,0.697381930184805
ENST00000085219.9,ENST00000381180.7,4.6189,0.1903,0.09184525466184247
ENST00000085219.9,ENST00000261769.9,4.6189,5.4132,0.43833796352216453
ENST00000085219.9,ENST00000336803.1,4.6189,1.3167,0.18342938856870478
ENST00000085219.9,ENST00000445369.2,4.6189,4.9946,0.31778828192258335
ENST00000085219.9,ENST00000304361.8,4.6189,3.1939,0.3921367314893103
ENST00000085219.9,ENST00000342213.2,4.6189,7.0267,0.44969199178644764
ENST00000085219.9,ENST00000337392.9,4.6189,4.8535,0.6425292909771712
ENST00000085219.9,ENST00000367057.7,4.6189,-0.0425,-0.1220558038410436
ENST00000085219.9,ENST00000296145.5,4.6189,-1.0559,-1.620224029461409
ENST00000085219.9,ENST00000381566.5,4.6189,0.6239,0.13055622659741514
ENST00000085219.9,ENST00000308508.5,4.6189,5.2713,0.455686073197246
ENST00000085219.9,ENST00000264723.8,4.6189,-5.5735,0.697381930184805
ENST00000085219.9,ENST00000373691.4,4.6189,-0.7346,-2.659666908037654
ENST00000085219.9,ENST00000241393.3,4.6189,7.7272,0.49638658648897566
ENST00000085219.9,ENST00000268793.4,4.6189,-0.394,-0.39091179680523863
ENST00000085219.9,ENST00000334286.7,4.6189,6.3576,0.5651648749849015
ENST00000085219.9,ENST00000359751.8,4.6189,-3.3076,0.697381930184805
ENST00000085219.9,ENST00000344849.4,4.6189,5.6619,0.44969199178644764
ENST00000085219.9,ENST00000357639.7,4.6189,1.6327,0.11825099649716149
ENST00000085219.9,ENST00000244869.2,4.6189,3.3206,0.34419276445504154
ENST00000085219.9,ENST00000334047.11,4.6189,6.9765,0.5556830535088779
ENST00000085219.9,ENST00000369168.4,4.6189,3.0199,0.39642602355970846
